annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,language,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist,lyrics
0,/songs/7182518,Vampire Weekend (Ft. Vampire Weekend),* by Vampire Weekend (Ft. Vampire Weekend),https://images.genius.com/11aa552a22db678674a92e03df110e6e.300x300x1.jpg,https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg,7182518,en,14665129,complete,/Vampire-weekend--lyrics,,https://genius.com/Vampire-weekend--sample,,,,https://images.genius.com/11aa552a22db678674a92e03df110e6e.300x300x1.jpg,https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",*,* (Ft. Vampire Weekend),https://genius.com/Vampire-weekend--lyrics,"[{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}]","{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}",.
5,/songs/4249139,Vampire Weekend,2021 by Vampire Weekend,https://images.genius.com/0ba70b70e3f2c55d35e0f63f07ea73bd.300x300x1.jpg,https://images.genius.com/0ba70b70e3f2c55d35e0f63f07ea73bd.1000x1000x1.jpg,4249139,en,1583418,complete,/Vampire-weekend-2021-lyrics,4.0,https://genius.com/Vampire-weekend-2021-sample,"{'year': 2019, 'month': 1, 'day': 24}","January 24, 2019","Jan. 24, 2019",https://images.genius.com/4535b464eefdbf847ffc1da7eff2a255.300x300x1.png,https://images.genius.com/4535b464eefdbf847ffc1da7eff2a255.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 80301}",2021,2021,https://genius.com/Vampire-weekend-2021-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Boy, boy  2021, will you think about me? I could wait a year, but I shouldn't wait three ( Boy ) I don't wanna be ( Boy ) 2021, will you think about us? Copper goes green, steel beams go rust ( Boy ) It's a matter of ( Boy )  Boy, boy Boy, boy  2021, will you think about me? I could wait a year, but I couldn't wait three ( Boy ) I don't wanna be ( Boy ) 2021, will you think about us? Copper goes green, steel beams go rust ( Boy ) It's a matter of ( Boy )"
1,/songs/6456492,Vampire Weekend (Ft. Sam Gendel),2021 (In the Space Between Two Pieces of Wood) by Vampire Weekend (Ft. Sam Gendel),https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,6456492,en,93685,complete,/Vampire-weekend-2021-in-the-space-between-two-pieces-of-wood-lyrics,,https://genius.com/Vampire-weekend-2021-in-the-space-between-two-pieces-of-wood-sample,"{'year': 2021, 'month': 2, 'day': 4}","February 4, 2021","Feb. 4, 2021",https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,"{'unreviewed_annotations': 1, 'hot': False}",2021 (In the Space Between Two Pieces of Wood),2021 (In the Space Between Two Pieces of Wood) (Ft. Sam Gendel),https://genius.com/Vampire-weekend-2021-in-the-space-between-two-pieces-of-wood-lyrics,"[{'api_path': '/artists/1146753', 'header_image_url': 'https://images.genius.com/fc7fc2532809ebe927762f0e16691cd7.956x498x1.jpg', 'id': 1146753, 'image_url': 'https://images.genius.com/f5ed49e8df092cbc0729b4d2aeaa8e27.546x546x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Sam Gendel', 'url': 'https://genius.com/artists/Sam-gendel'}]","{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," 2021, will you think about me? I could wait a year, but I shouldn't wait three I don't want to be 2021, will you think about us? Copper goes green, steel beams go rust It's a matter of  2021, will you think about me? I could wait a year, but I shouldn't wait three I don't want to be 2021, will you think about us? Copper goes green, steel beams go rust It's a matter of     Now We're gonna have a little fun with you To let you know that they all work together When you put 'em together And as long as you groove 'Member those, those quarters? 'Member that 12/8? Don't worry about those ghost notes Ain't nothin' but rebound Make it sound and feel good Haha 'Member that old trip that we did? Oh Yeah, I like that"
1,/songs/6456491,Vampire Weekend (Ft. Goose (US Band)),"2021 (January 5th, To Be Exact) by Vampire Weekend (Ft. Goose (US Band))",https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,6456491,en,93685,complete,/Vampire-weekend-2021-january-5th-to-be-exact-lyrics,,https://genius.com/Vampire-weekend-2021-january-5th-to-be-exact-sample,"{'year': 2021, 'month': 2, 'day': 4}","February 4, 2021","Feb. 4, 2021",https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.300x300x1.jpg,https://images.genius.com/dc9b16849438bb6c9ec7535c54308ec6.1000x1000x1.jpg,"{'unreviewed_annotations': 1, 'hot': False}","2021 (January 5th, To Be Exact)","2021 (January 5th, To Be Exact) (Ft. Goose (US Band))",https://genius.com/Vampire-weekend-2021-january-5th-to-be-exact-lyrics,"[{'api_path': '/artists/2722088', 'header_image_url': 'https://images.genius.com/b521c526d26ad6b386e1cc3c8ebb7234.500x500x1.jpg', 'id': 2722088, 'image_url': 'https://images.genius.com/b521c526d26ad6b386e1cc3c8ebb7234.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Goose (US Band)', 'url': 'https://genius.com/artists/Goose-us-band'}]","{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Boy Boy, boy Boy, boy Boy, boy  2021, will you think about me? I could wait a year, but I shouldn't wait three (Boy) I don't wanna be (Boy) 2021, will you think about us? Copper goes green, steel beams go rust (Boy) It's a matter of (Boy)  Boy, boy Boy, boy  2021, will you think about me? I could wait a year, but I shouldn't wait three (Boy) I don't wanna be (Boy) 2021, will you think about us? Copper goes green, steel beams go rust (Boy) It's a matter of (Boy)  2021, will you think about me? I could wait a year, but I shouldn't wait three (Boy) I don't wanna be (Boy) 2021, will you think about us? Copper goes green, steel beams go rust (Boy) It's a matter of (Boy) 2021, will you think about me? I could wait a year, but I shouldn't wait three (Boy) I don't wanna be (Boy) 2021, will you think about us? Copper goes green, steel beams go rust (Boy) It's a matter of (Boy)"
0,/songs/5972634,Vampire Weekend,2021 (Live in St. Augustine) by Vampire Weekend,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,5972634,en,11723282,complete,/Vampire-weekend-2021-live-in-st-augustine-lyrics,,https://genius.com/Vampire-weekend-2021-live-in-st-augustine-sample,"{'year': 2020, 'month': 7, 'day': 9}","July 9, 2020","Jul. 9, 2020",https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",2021 (Live in St. Augustine),2021 (Live in St. Augustine),https://genius.com/Vampire-weekend-2021-live-in-st-augustine-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Boy, boy  2021, will you think about me? I could wait a year, but I shouldn't wait three (Boy) I don't wanna be (Boy) 2021, will you think about us? Copper goes green, steel beams go rust (Boy) It's a matter of (Boy)  Boy, boy Boy, boy  2021, will you think about me? I could wait a year, but I couldn't wait three (Boy) I don't wanna be (Boy) 2021, will you think about us? Copper goes green, steel beams go rust (Boy) It's a matter of (Boy)  Boy, boy Boy, boy  Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm Mm, mm, mm, m-mm"
14,/songs/53598,Vampire Weekend,A-Punk by Vampire Weekend,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,53598,en,12,complete,/Vampire-weekend-a-punk-lyrics,29.0,https://genius.com/Vampire-weekend-a-punk-sample,"{'year': 2008, 'month': 2, 'day': 28}","February 28, 2008","Feb. 28, 2008",https://images.genius.com/42acb04b412f29cfc918db05c01221ae.300x308x1.jpg,https://images.genius.com/42acb04b412f29cfc918db05c01221ae.600x616x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 177708}",A-Punk,A-Punk,https://genius.com/Vampire-weekend-a-punk-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Johanna drove slowly into the city The Hudson River all filled with snow She spied the ring on His Honor's finger Oh, oh, oh  A thousand years in one piece of silver She took it from his lily-white hand Showed no fear, she'd seen the thing In the young men's wing at Sloan-Kettering  Look outside at the raincoats coming, say ""oh"" Look outside at the raincoats coming, say ""oh""  'Ey, 'ey, 'ey, 'ey! 'Ey, 'ey, 'ey!  His Honor drove southward, seeking exotica Down to the pueblo huts of New Mexico Cut his teeth on turquoise harmonicas Oh, oh, oh"
1,/songs/1554162,Rockapella,A-Punk by Rockapella,https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,1554162,en,175962,complete,/Rockapella-a-punk-lyrics,,https://genius.com/Rockapella-a-punk-sample,"{'year': 2010, 'month': 9, 'day': 21}","September 21, 2010","Sep. 21, 2010",https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,https://images.genius.com/51e829013d8bca007f26e84392c1f818.268x268x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",A-Punk,A-Punk,https://genius.com/Rockapella-a-punk-lyrics,[],"{'api_path': '/artists/358421', 'header_image_url': 'https://images.genius.com/271a5a45d30439284f027dca466f1b21.1000x619x1.jpg', 'id': 358421, 'image_url': 'https://images.genius.com/271a5a45d30439284f027dca466f1b21.1000x619x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Rockapella', 'url': 'https://genius.com/artists/Rockapella'}"," Ay, ay, ay, ay Ay, ay, ay Look outside, the raincoat coming, say oh Look outside, the raincoat coming, say oh Oh, oh Ay, ay, ay, ay Ay, ay, ay  Johanna drove slowly into the city The Hudson River all filled with snow She spied the ring on His Honor's finger Oh, oh, oh  A thousand years in one piece of silver Took it from his lily-white hand Showed no fear, she'd seen the thing In the Young Men's Wing at Sloan-Kettering (In the Young Men's Wing at Sloan-Kettering)  Look outside, the raincoat coming, say oh Look outside, the raincoat coming, say oh Oh Ay, ay, ay, ay Ay, ay, ay  His Honor drove southward seeking exotica Down to the Pueblo huts of New Mexico Cut his teeth on turquoise harmonicas Oh, oh, oh  I saw Johanna down in the subway She took an apartment in Washington Heights Half of the ring lies here with me But the other half's at the bottom of the sea (The other half's at the bottom of the sea)"
0,/songs/5972633,Vampire Weekend,A-Punk (Live in St. Augustine) by Vampire Weekend,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,5972633,en,11723282,complete,/Vampire-weekend-a-punk-live-in-st-augustine-lyrics,,https://genius.com/Vampire-weekend-a-punk-live-in-st-augustine-sample,"{'year': 2020, 'month': 7, 'day': 9}","July 9, 2020","Jul. 9, 2020",https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.300x300x1.jpg,https://images.genius.com/3d00e7aa8241ea6b955dde92524efe44.500x500x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",A-Punk (Live in St. Augustine),A-Punk (Live in St. Augustine),https://genius.com/Vampire-weekend-a-punk-live-in-st-augustine-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Alright!  Johanna drove slowly into the city The Hudson River all filled with snow She spied the ring on His Honor's finger Oh, oh, oh A thousand years in one piece of silver She took it from his lily-white hand Showed no fear, she'd seen the thing In the young men's wing at Sloan-Kettering  And now we just bounce around  Look outside at the raincoats coming, say ""oh"" Look outside at the raincoats coming, say 'Ey, 'ey, 'ey, 'ey! 'Ey, 'ey, 'ey!  His Honor drove southward, seeking exotica Down to the pueblo huts of New Mexico Cut his teeth on turquoise harmonicas Oh, oh, oh I saw Johanna down in the subway She took an apartment in Washington Heights Half of the ring lies here with me But the other half's at the bottom of the sea  Look outside at the raincoats coming, say ""oh"" Look outside at the raincoats coming, say ""oh"" Look outside at the raincoats coming, say ""oh"" Look outside at the raincoats coming, say ""oh""  'Ey, 'ey, 'ey, 'ey! 'Ey, 'ey, 'ey, 'ey!"
10,/songs/53589,Vampire Weekend,Arrows by Vampire Weekend,https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.300x300x1.jpg,https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.500x500x1.jpg,53589,en,12,complete,/Vampire-weekend-arrows-lyrics,,https://genius.com/Vampire-weekend-arrows-sample,"{'year': 2008, 'month': 1, 'day': 1}","January 1, 2008","Jan. 1, 2008",https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.300x300x1.jpg,https://images.genius.com/086bcb10f059f9eaba53b9037c1e3df6.500x500x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 8117}",Arrows,Arrows,https://genius.com/Vampire-weekend-arrows-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," I saw you down at the station Your leather suitcase burst at the seams Stay all day up in your rooms now That's not a problem you've ever seen  Fall on your knees,   wasting your arrows You'd found you've walked along these halls  I awoke up in a bedroom You'd gone out hunting, I was asleep Spend my day out at the fountain That's not a problem you had foreseen  Fall on your knees,   wasting your arrows You'd found you've walked along these halls Fall on your knees,   wasting your arrows You'd found you've walked along these halls  Oh, it's no use at all But that life in the church could still remain"
1,/songs/2516199,Genius (Ft. Vampire Weekend),Artist Archive: Vampire Weekend by Genius (Ft. Vampire Weekend),https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.300x300x1.png,https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.1000x1000x1.png,2516199,en,1448826,complete,/Genius-artist-archive-vampire-weekend-annotated,,https://genius.com/Genius-artist-archive-vampire-weekend-sample,,,,https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.300x300x1.png,https://images.genius.com/f4df5c992c2a98130aa59371effc51bb.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False}",Artist Archive: Vampire Weekend,Artist Archive: Vampire Weekend (Ft. Vampire Weekend),https://genius.com/Genius-artist-archive-vampire-weekend-annotated,"[{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}]","{'api_path': '/artists/204611', 'header_image_url': 'https://images.genius.com/822a5f872a1fcfe377695dc0046c6bc6.900x176x1.jpg', 'id': 204611, 'image_url': 'https://images.genius.com/0ca83e3130e1303a7f78ba351e3091cd.1000x1000x1.png', 'is_meme_verified': True, 'is_verified': True, 'name': 'Genius', 'url': 'https://genius.com/artists/Genius', 'iq': 78271}","CONTENTS 2016 to present: Rostam's departure and  Mitsubishi Macchiato 2013 - 2016:  Modern Vampires Of The City 2010 - 2013:  Contra 2008 - 2010:  Vampire Weekend 2004 - 2008: L'Homme Run and early Vampire Weekend 2016 to present: Rostam's departure and  Mitsubishi Macchiato Awards & Accomplishments January 26, 2016  - Rostam Batmanglij leaves Vampire Weekend Appearances & Shows April 13, 2016  - Vampire Weekend plays their first official show as a trio at a Bernie Sanders rally in Washington Square Park, NYC January 31, 2016  - Members of Dirty Projectors and Vampire Weekend appear at a Bernie Sanders rally in Iowa Discography June 6, 2016  - Ezra Koenig, the band's lead singer, makes a new song with iLoveMakonnen Filmography N/A Interviews May 26, 2016  - Chris Baio, the band's bassist, talks about David Bowie, iconic album art, and geography to The Daily Emerald 2013 to 2016:  Modern Vampires Of The City Awards & Accomplishments June 1, 2013  -  Modern Vampires Of The City  debuts at number one on the  Billboard  200, becoming their second consecutive number one album Appearances & Shows To be continued! Discography May 14, 2013  - The band's third album,  Modern Vampires Of The City , is released Filmography To be continued! Interviews To be continued! 2010 to 2013:  Contra Awards & Accomplishments January 30, 2010  -  Contra  debuts at number one on the  Billboard  200, becoming their first number one album Appearances & Shows To be continued! Discography January 11, 2010  - The band's second album,  Contra , is released Filmography To be continued! Interviews To be continued! 2008 to 2010:  Vampire Weekend Awards & Accomplishments To be continued! Appearances & Shows To be continued! Discography January 29, 2008  - The band's debut album,  Vampire Weekend , is released Filmography To be continued! Interviews To be continued! 2004 to 2008: L'Homme Run and early Vampire Weekend Awards & Accomplishments To be continued! Appearances & Shows To be continued! Discography Across 2004  - Various songs are released by L'Homme Run, the rap trio featuring the band's lead singer Ezra Koenig and drummer Chris Tomson Filmography To be continued Interviews To be continued!"
12,/songs/4478305,Vampire Weekend,Bambina by Vampire Weekend,https://images.genius.com/5f9a6674593806ac72677141c0e66330.300x300x1.png,https://images.genius.com/5f9a6674593806ac72677141c0e66330.1000x1000x1.png,4478305,en,1495791,complete,/Vampire-weekend-bambina-lyrics,2.0,https://genius.com/Vampire-weekend-bambina-sample,"{'year': 2019, 'month': 5, 'day': 3}","May 3, 2019","May. 3, 2019",https://images.genius.com/5f9a6674593806ac72677141c0e66330.300x300x1.png,https://images.genius.com/5f9a6674593806ac72677141c0e66330.1000x1000x1.png,"{'unreviewed_annotations': 3, 'hot': False, 'pageviews': 62805}",Bambina,Bambina,https://genius.com/Vampire-weekend-bambina-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," No time to discuss it Can't speak when the waves reach our house upon the dunes Time cannot be trusted When the police come, they always come too soon Life felt like heaven today Like a foreign car though we are American-made I thought I'd probably stay But before I know, I know  My Christian heart cannot withstand The thundering arena I'll see you when the violence ends For now, ciao ciao, Bambina  No signs of injustice No signs, but the flames that are filling up the room Fire cannot be trusted When the engines come, they always come too soon  My Christian heart cannot withstand The thundering arena I'll see you when the violence ends For now, ciao ciao, Bambina My Christian heart cannot withstand The thundering arena I'll see you when the violence ends For now, ciao ciao, Bambina  Uh, to an extent, yeah"
5,/songs/3883227,Vampire Weekend,Big Blue by Vampire Weekend,https://images.genius.com/5f9a6674593806ac72677141c0e66330.300x300x1.png,https://images.genius.com/5f9a6674593806ac72677141c0e66330.1000x1000x1.png,3883227,en,5738847,complete,/Vampire-weekend-big-blue-lyrics,2.0,https://genius.com/Vampire-weekend-big-blue-sample,"{'year': 2019, 'month': 3, 'day': 6}","March 6, 2019","Mar. 6, 2019",https://images.genius.com/c0d3820903875877e821f20211ef1eb4.300x300x1.png,https://images.genius.com/c0d3820903875877e821f20211ef1eb4.1000x1000x1.png,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 41614}",Big Blue,Big Blue,https://genius.com/Vampire-weekend-big-blue-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Big blue, for once in my life, I felt close to you I was so overcome with emotion When I was hurt and in need of affection When I was tired and I couldn't go home Then you offered protection So am I learning my lesson? Or am I back on my own?  Big blue, for once in my life, I felt close to you I was so overcome with emotion When I was hurt and in need of affection When I was tired and I couldn't go home Then you offered protection So am I learning my lesson? Or am I back on my own?  Big blue, for once in my life, I felt close to you I was so overcome with emotion When I was hurt and in need of affection When I was tired and I couldn't go home Then you offered protection So am I learning my lesson? Or am I back on my own?  Big blue, for once in my life, I felt close to you I was so overcome with emotion When I was hurt and in need of affection When I was tired and I couldn't go home Then you offered protection So am I learning my lesson? Or am I back on my own?"
5,/songs/53608,Vampire Weekend,Bryn by Vampire Weekend,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,53608,en,12,complete,/Vampire-weekend-bryn-lyrics,5.0,https://genius.com/Vampire-weekend-bryn-sample,"{'year': 2008, 'month': 1, 'day': 29}","January 29, 2008","Jan. 29, 2008",https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.300x300x1.jpg,https://images.genius.com/ef31622e93d6cf91e2660d470f7e416f.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 28448}",Bryn,Bryn,https://genius.com/Vampire-weekend-bryn-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Ion displacement won't work in the basement Especially when I'm not with you Here in the heartland, a feeling so startling I don't know what I should do  Oh, Bryn, you see through the dark Right past the fireflies that sleep in my heart You know it's easy to see Wait for the season to come back to me  Nights by the ocean, a westerly motion That moves California to sea Eyes like a seagull,  no Kansas-born beetle Could ever come close to that free  Oh, Bryn, you see through the dark Right past the fireflies that sleep in my heart You know it's easy to see Wait for the season to come back to me"
0,/songs/7296698,Vampire Weekend,Bryn (Daytrotter Session) by Vampire Weekend,https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.300x300x1.jpg,https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.320x320x1.jpg,7296698,en,6110965,complete,/Vampire-weekend-bryn-daytrotter-session-lyrics,,https://genius.com/Vampire-weekend-bryn-daytrotter-session-sample,"{'year': 2007, 'month': 10, 'day': 22}","October 22, 2007","Oct. 22, 2007",https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.300x300x1.jpg,https://images.genius.com/188b237039ed8e9115349f8713b6b3eb.320x320x1.jpg,"{'unreviewed_annotations': 0, 'hot': False}",Bryn (Daytrotter Session),Bryn (Daytrotter Session),https://genius.com/Vampire-weekend-bryn-daytrotter-session-lyrics,[],"{'api_path': '/artists/269', 'header_image_url': 'https://images.genius.com/b89d7174886c636a895f6df3ea3dc823.1000x563x1.jpg', 'id': 269, 'image_url': 'https://images.genius.com/11aa552a22db678674a92e03df110e6e.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Vampire Weekend', 'url': 'https://genius.com/artists/Vampire-weekend', 'iq': 154}"," Ion displacement won't work in the basement Especially when I'm not with you Here in the heartland, a feeling so startling I don't know what I should do  Oh, Bryn, you see through the dark Right past the fireflies that sleep in my heart You know it's easy to see Wait for the season to come back to me  Nights by the ocean, a westerly motion That moves California to sea Eyes like a seagull, no Kansas-born beetle Could ever come close to that free  Oh, Bryn, you see through the dark Right past the fireflies that sleep in my heart You know it's easy to see Wait for the season to come back to me"
