artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
"['2JymsYVZ5c5prv9mOdPB3p', '5rw6jWzcS6bQimR39VPBXu', '0K1ilFOGrYhSKNZaDCYRvk']",7gXx19GNHIiQ3fIbXxeY1U,The Unofficial Bridgerton Musical,2021,9.0,10.0
['5ryNsXcUuraq2yIDmqfNc8'],4KbYJlF8ymCNZTTa2fgMfg,Undefeated,2018,1.0,20.0
['5s31VTVh96lZBPphv51mIH'],0h0TLuOJEyH6fgrIpydvzx,Canciones En Vivo (Desde Tijuana 2014),2022,11.0,3.0
['5s31VTVh96lZBPphv51mIH'],0ocBRZtvjHLX40mrk4JGT5,Mis Incios,2022,10.0,5.0
['5s31VTVh96lZBPphv51mIH'],3XvLpQdkOiEAu3oJPnt2pj,Mis Inicios,2022,10.0,5.0
['5s31VTVh96lZBPphv51mIH'],7BQ3RUnMTrQJKfGUQsDaVh,Mis Inicios,2022,9.0,29.0
['5s31VTVh96lZBPphv51mIH'],6T0bAJX7AbG2H1bwQxyRUm,Puros Coridos Y Canciones (En Vivo ),2022,7.0,1.0
['5s31VTVh96lZBPphv51mIH'],6vfuwXeOhBcENbnlXtOyN8,Mis Inicios Con Tuba,2022,6.0,25.0
['5s31VTVh96lZBPphv51mIH'],7Im5ZA0SrbPVJUQ29JtxLW,Las Preferidas Vol 2 (En Vivo),2022,5.0,23.0
['5s31VTVh96lZBPphv51mIH'],7tFMquzraDnTQob27BtVok,Mis Ineditas,2022,4.0,24.0
['5s31VTVh96lZBPphv51mIH'],2BoP3cmbcNHpQnpBgcSgmm,"Las Preferidas, Vol. 1",2022,3.0,18.0
['5s31VTVh96lZBPphv51mIH'],1HN1Sc7sc5qMiyBciAuE2i,Mis Preferidas 2022,2022,2.0,20.0
['5s31VTVh96lZBPphv51mIH'],5y7Yj8RXHuoMELhQLZIRIQ,Cd Caborca 2013,2021,11.0,23.0
['5s31VTVh96lZBPphv51mIH'],3JEI7yAvxNFDIJxCBOt2tU,"Mis Incios Como ""la Tuyia""",2021,11.0,15.0
['5s31VTVh96lZBPphv51mIH'],1iFcqjyaWDo5HTLRefSqKH,En Vivo Desde Año Nuevo 2013,2021,9.0,16.0
['5s31VTVh96lZBPphv51mIH'],05QJ0pCeeJY5M9oNWTqn5u,Cd Tololoche Con Tuba (En Vivo),2021,7.0,14.0
['5sEocv1pFst7o3pam69obY'],1KATU8501VSWv72HDGq7bA,Marilyn Monroe Memoryal Collection (1926-1962),2022,3.0,16.0
['5sEocv1pFst7o3pam69obY'],0SH5DsuoVpQfEULF6NGFsa,Deluxe: I Wanna Be Loved By You,2012,9.0,3.0
['5sEocv1pFst7o3pam69obY'],7yPUJiDB2mtq5mcFaxNVtT,Marilyn Monroe 50th Anniversary Album,2012,8.0,20.0
['5sEocv1pFst7o3pam69obY'],0rIKUqPJltXod1Jk39RgIR,Diamonds Are a Girl's Best Friend,2012,2.0,21.0
['5sEocv1pFst7o3pam69obY'],6ASRxQ9TCAD5XbL1jPiuvw,Diamonds Are a Girl's Best Friend,2012,,
['5sEocv1pFst7o3pam69obY'],236Ezr8x1NVDrE83ihq5YZ,Saga All Stars: Heat Wave / Selected Film Tracks 1950-1957,2008,8.0,18.0
['5sEocv1pFst7o3pam69obY'],5UMvaF6uvlAKyTQkb4MwSz,Marilyn Monroe,2001,1.0,1.0
['5sEocv1pFst7o3pam69obY'],6qqToFUtqqJEOrWdK8OZJF,Let's Make Love,1960,,
['5sUrlPAHlS9NEirDB8SEbF'],0FZBhjDJOY7l3eQ1uswUR4,Sanz,2021,12.0,9.0
['5sUrlPAHlS9NEirDB8SEbF'],6nSmLcaO3yxbmMx7BWCEOL,#LAGIRA de #ELDISCO,2019,12.0,5.0
['5sUrlPAHlS9NEirDB8SEbF'],3RSownGSkhJPRmzLddzsUd,#ELDISCO,2019,4.0,4.0
['5sUrlPAHlS9NEirDB8SEbF'],6NmuOSiXv5WoA5lYjemVTt,+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017),2017,12.0,8.0
['5sUrlPAHlS9NEirDB8SEbF'],1qKayLcRwdaI4mYNERDxUP,Más: 20 Aniversario,2017,5.0,18.0
['5sUrlPAHlS9NEirDB8SEbF'],0XOdTl6clnczzIj4OlErmG,Sirope Vivo,2016,1.0,8.0
['5sUrlPAHlS9NEirDB8SEbF'],6ceGjzSdQJ6sVNGIea8fhV,Sirope Vivo,2015,11.0,27.0
['5sUrlPAHlS9NEirDB8SEbF'],2itVeSnBapwaGliBrpVNli,Sirope Vivo,2015,11.0,27.0
['5sUrlPAHlS9NEirDB8SEbF'],3K8z0Tihksjuz1eS6M0uEe,Sirope,2015,8.0,25.0
['5sUrlPAHlS9NEirDB8SEbF'],5SVQiBI8Kj03jWENZXh8rt,Sirope,2015,5.0,4.0
['5sUrlPAHlS9NEirDB8SEbF'],3yLDXQ4DGUeDmaWxQTdbhc,Sirope,2015,5.0,4.0
['5sUrlPAHlS9NEirDB8SEbF'],16JwD51VXLXs5wAjnoUHPs,La Música No Se Toca En Vivo,2013,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],66D72IwXvSkLiMENNBqrkp,La Música No Se Toca,2012,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],2ZtJf06F83V5ZJmLCrQBbG,La Música No Se Toca,2012,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],2YJqPn5l4puQR1oOCwEThR,La Música No Se Toca,2012,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],3x4aPX9cWsIW24Aq6g9xYL,La Música No Se Toca,2012,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],5O5LrflUeCNwNAsCQ5o0jk,La Música No Se Toca (Deluxe),2012,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],3D06YEmNVnN1aGphX695Xw,La Música No Se Toca (Deluxe),2012,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],3jZuGNKiu9RrMJOyERcmra,La Música No Se Toca (Versão Portuguesa),2012,1.0,1.0
['5sUrlPAHlS9NEirDB8SEbF'],1RK175pYOroZC8tF4C42sV,Paraiso Express,2009,11.0,10.0
['5sUrlPAHlS9NEirDB8SEbF'],0WSmZjtSlfaMoJjrhj7R7z,Paraiso Express,2009,11.0,10.0
['5sUrlPAHlS9NEirDB8SEbF'],7g18QeQ19gPXM6xeRCKUsa,Paraiso Express Edicion Especial Gira,2009,11.0,10.0
['5sUrlPAHlS9NEirDB8SEbF'],2MeWByq8zmye2C7BN129lX,El tren de los momentos - En vivo desde Buenos Aires (DMD Audio only),2007,10.0,2.0
['5sUrlPAHlS9NEirDB8SEbF'],4fmQ0MmjsrFoNPrs8CF2JA,El tren de los momentos (Edición Especial),2007,9.0,17.0
['5sUrlPAHlS9NEirDB8SEbF'],4LXfHYVr0scRlsxnWyO437,El tren de los momentos,2006,11.0,7.0
['5sUrlPAHlS9NEirDB8SEbF'],5liriJ0rBsYMsKHuBF4oBa,El tren de los momentos (Deluxe),2006,11.0,7.0
['5sUrlPAHlS9NEirDB8SEbF'],3mAnRVNSmsmPN5rDqY6YAK,No es lo mismo Edicion 2006,2006,9.0,26.0
['5sUrlPAHlS9NEirDB8SEbF'],5NlaeUC9hyrqiVOHpTRCli,No es lo mismo (Edicion Gira),2003,9.0,2.0
['5sUrlPAHlS9NEirDB8SEbF'],1GP8zhAu7gbAQTzfl6xOKo,MTV Unplugged,2001,11.0,19.0
['5sUrlPAHlS9NEirDB8SEbF'],7ncmnoKZ2UhqaIvoJWQlmu,El Alma Al Aire: 20 Aniversario,2000,9.0,26.0
['5sUrlPAHlS9NEirDB8SEbF'],5H3nqNi9L3NaxPG45h3CjJ,El alma al aire,2000,9.0,26.0
['5sUrlPAHlS9NEirDB8SEbF'],1IruwGpL9xeW16S9S080jx,Más,1997,9.0,26.0
['5sUrlPAHlS9NEirDB8SEbF'],3MfNbOJuFb5H4CjrT49oiI,Más,1997,8.0,28.0
['5sUrlPAHlS9NEirDB8SEbF'],6iQUPW8yGLQdbf3JXmNA8N,Alejandro Sanz 3,1995,9.0,26.0
['5sUrlPAHlS9NEirDB8SEbF'],0jbfTUzP1cXVOjyw6o0Qnt,Alejandro Sanz 3 (Italiano),1995,5.0,5.0
['5sUrlPAHlS9NEirDB8SEbF'],1SweDWsDuk1DvaJxdNpM0I,Alejandro Sanz 3 (Portugues),1995,5.0,5.0
['5sUrlPAHlS9NEirDB8SEbF'],33SeVIcoXAiWcqGhQaEZFF,Basico,1994,11.0,18.0
['5sUrlPAHlS9NEirDB8SEbF'],5upSLXDAeJYeJIL8sqkD80,Si tu me miras,1993,9.0,26.0
['5sUrlPAHlS9NEirDB8SEbF'],2iSb8znJjwpsaGMA5NlcnW,Si Tu Me Miras,1993,5.0,14.0
['5sUrlPAHlS9NEirDB8SEbF'],2yfm8Icbo9F9BDrsGamjBd,Viviendo deprisa,1991,8.0,20.0
['5t3gI9HmOoz5EKWOg45OPB'],4gBXZ3ZbOueOHy1dEWWo5W,Perdon Amor,2023,2.0,14.0
"['23yjPxUzURIfc143xqU9zO', '5t3gI9HmOoz5EKWOg45OPB', '01PvcAK6gaCKljM22XKxTS']",4dhvnN0Q2jccHsH6z8hkos,Aniversario Vol. 1,2022,12.0,30.0
['5t3gI9HmOoz5EKWOg45OPB'],2Tgi4ujTncyWdYhcTSdYTZ,En Vivo Con La Alta VOL. 3,2022,8.0,18.0
['5t3gI9HmOoz5EKWOg45OPB'],4stJwR3QLE70ZR4apvxhik,"Corridos, Vol. 2 (En Vivo)",2021,2.0,7.0
['5t3gI9HmOoz5EKWOg45OPB'],6szb9torlKu4FAtEnxVq71,"Corridos (En Vivo, Vol. 2)",2020,5.0,15.0
['5tQMB0cuNXdCtzovGt55uD'],5zWZi7tO66MoobIAl9OxWS,FLAWLESS LIKE ME,2022,9.0,23.0
"['5tQMB0cuNXdCtzovGt55uD', '6NmvwMFvNRQmWdW5N1nxsC']",0BA1h18jGi9tQ4iUAacLMG,WAKE UP LUCKI,2021,12.0,3.0
['5tQMB0cuNXdCtzovGt55uD'],6pZamSyMYxzfmSAUbnzKIf,Almost There,2020,5.0,29.0
['5tQMB0cuNXdCtzovGt55uD'],0p1QXY0M8LRXybgy9TchHE,Days B4 III,2019,10.0,25.0
['5tQMB0cuNXdCtzovGt55uD'],4PKdUHGtcJtsjhIaR4fjMk,Freewave 3,2019,2.0,15.0
['5tQMB0cuNXdCtzovGt55uD'],45PaEwQodQtfw2nElzigDl,Watch My Back,2017,12.0,1.0
['5tQMB0cuNXdCtzovGt55uD'],75HiFbi0CpCb81uWBPClyD,Watch My Back,2017,12.0,1.0
"['03bsjBaVuPhO8Nb9NCICsm', '5tQMB0cuNXdCtzovGt55uD']",0nQtPHNSiy2I151G4YmOwU,Freewave 2,2016,8.0,15.0
['5tQMB0cuNXdCtzovGt55uD'],1v7HmG87k9F88N7CWIOlIW,Freewave,2015,10.0,19.0
['5tQMB0cuNXdCtzovGt55uD'],3GVblX9gjhR6bhP74EZQ3G,Freewave,2015,10.0,15.0
['5tQMB0cuNXdCtzovGt55uD'],1BAXlFAnacnAhehXrdtUNn,X,2015,5.0,30.0
['5tQMB0cuNXdCtzovGt55uD'],4MAHIIjN6oiNMIhqmujnwC,Body High,2014,8.0,7.0
['5tQMB0cuNXdCtzovGt55uD'],2nIlnVIoKgHLwyOYvoZzBd,Body High,2014,8.0,7.0
['5tQMB0cuNXdCtzovGt55uD'],1hpn4Spfmw80nqRWAd8Zk1,Alternative Trap,2013,2.0,25.0
['5tQMB0cuNXdCtzovGt55uD'],236Qd42vyxaVXwrsOar187,Alternative Trap,2013,2.0,25.0
"['1JOQXgYdQV2yfrhewqx96o', '65oBR5AGGDgMimg6Q0dZBA', '3ALYsjti5tptGpfAgEYweV', '5tec1HAeVkTGyCfKlzJm0V', '16mCSLSDuOh1X1ZKsIWaZU', '5jDSvWeUQdlHGdUW2p3YLq']",5ucuwlekloxtvKGV3DMFAy,Verdi: Un ballo in maschera (Live),2015,1.0,1.0
"['3Djlcznke8jkfjm2hm4q4Z', '5tec1HAeVkTGyCfKlzJm0V', '7xgzt9ql9Uq2HOudEYgCX9', '5Or0fj9ajo3hmSBj0iLNiN']",2KARGI4oBSY6QmPxZ78mix,"Leo: La morte di Abele, Extracts (Stereo Version)",1961,1.0,1.0
"['1JOQXgYdQV2yfrhewqx96o', '2ayxeD3FUYx8YaxZXdrw3r', '05Ul7kISvOfWTBHTJpBQdX', '4mOlt8fdG1yYul4gBLzoZ6', '5tec1HAeVkTGyCfKlzJm0V']",6Wey4PQu3Nze0xQEu6At7Y,Verdi: Un ballo in maschera (Mono Version),1960,,
"['1JOQXgYdQV2yfrhewqx96o', '2ayxeD3FUYx8YaxZXdrw3r', '05Ul7kISvOfWTBHTJpBQdX', '4mOlt8fdG1yYul4gBLzoZ6', '5tec1HAeVkTGyCfKlzJm0V']",2gPyWE7m1fzwj1TO9u0ZcG,Verdi: Un ballo in maschera (Stereo Version),1960,,
['5u4ozdMUTJLCJPYkFVoy0o'],06MO7kElzwx7ET2sc0gN00,Maestro Lucho,2022,5.0,17.0
['5u4ozdMUTJLCJPYkFVoy0o'],7KBq7OH6niXNpxIAhkw1mc,Porrock,2017,4.0,21.0
['5u4ozdMUTJLCJPYkFVoy0o'],1x6vOxg6Hh7EnvFC2OFQBF,Porro Hecho En Colombia,2014,,
['5u4ozdMUTJLCJPYkFVoy0o'],45dm136p3QXcgN5daNHmV4,Porro Nuevo,2008,4.0,15.0
['5u4ozdMUTJLCJPYkFVoy0o'],3aZKbAXvqmmK4m3HcZUN1t,Porro Nuevo,2008,1.0,1.0
"['5u4ozdMUTJLCJPYkFVoy0o', '3LRrBhVHpvtqzcQC7BUlXp']",31x36KR0uGoq9TbApQOzKZ,De Corazon a Corazon,2001,5.0,15.0
"['5u4ozdMUTJLCJPYkFVoy0o', '5aphKrFhMsxHpvEGawQZxI']",3HO6LxxHCqzh9jJM9gesII,Te Amaria,2000,3.0,20.0
['5u4ozdMUTJLCJPYkFVoy0o'],2fNdyJWJKj6aJjblen9a6r,Destellos de Amor,1998,11.0,3.0
['5u4ozdMUTJLCJPYkFVoy0o'],05vfsiK7MHagJ9toV7IxKF,Destellos de Amor,1998,2.0,15.0
['5u4ozdMUTJLCJPYkFVoy0o'],4YX3pu7krIWQCQRVNlblDr,Enamorate Como Yo,1997,10.0,9.0
['5uAzvey5cCBgcwHJy4zBOC'],0ewxQGTVNo83G2waK3AqZ6,GEM-IN-I,2012,10.0,5.0
['5uAzvey5cCBgcwHJy4zBOC'],4iAEPEYNLN4uhulD4kIlq6,Gem-In-I,2008,7.0,16.0
['5uAzvey5cCBgcwHJy4zBOC'],7EHOAVKk5FpdSRkETUYYy1,International,2007,1.0,1.0
['5uAzvey5cCBgcwHJy4zBOC'],4ybx5SjDXpVWyADYFntuNl,International,2006,1.0,1.0
['5uGLMv2SUbSLB1C0jWeyZw'],3kLpODkaNKa0f4ETkwXoRp,Nubes Gypsy Jazz (Llegando) 2020,2021,3.0,5.0
['5uGLMv2SUbSLB1C0jWeyZw'],7MtsmICBb1z7rkpjFg8gXW,Nubes Gypsy Jazz (2012),2021,2.0,4.0
['5uGLMv2SUbSLB1C0jWeyZw'],4NyqEzFqD4I3skW28sUEqc,Vuelta,2021,2.0,3.0
['5uGLMv2SUbSLB1C0jWeyZw'],7ayU3cm2VUVd6VcLHc5yl3,Aranda Pelliza Duo,2021,2.0,1.0
['5uGLMv2SUbSLB1C0jWeyZw'],2pnwCJFxTrzF5W1bfTrhJ2,Encuentro,2021,1.0,28.0
['5vbgY6zVUKz1haJv618QvC'],5MCf2Q4N6Jolv1vOmMCpTO,Giggin,2022,12.0,16.0
"['6L1Baujfn33sG3PXou8n1q', '5vbgY6zVUKz1haJv618QvC', '6quCxsPM8fOxowmqOx5j93']",1VF1JxAG4zXYYt9T6bHqza,Pollination,2022,11.0,11.0
['5vbgY6zVUKz1haJv618QvC'],2b77ajDh2WuaVpYwh4VG2a,The Yawn,2020,12.0,11.0
['5vbgY6zVUKz1haJv618QvC'],6QMP7CSxNbl7nPCK8fqSTJ,Big Sal,2020,11.0,20.0
['5vbgY6zVUKz1haJv618QvC'],24Dnm7fZjEx9CBn8pMf6l0,Art of Self,2020,9.0,4.0
['5vbgY6zVUKz1haJv618QvC'],6nkPZe5D7gcWFG6TAsrwze,Flux,2019,11.0,22.0
['5vbgY6zVUKz1haJv618QvC'],7D0s1KqeqqgbfNP1vgig7Y,Gift Wrapped,2019,10.0,11.0
['5vbgY6zVUKz1haJv618QvC'],7H2EfXZ6vwDEcRqg3fWjFy,Rudimentary,2019,7.0,12.0
['5vbgY6zVUKz1haJv618QvC'],3qVv7p85Mh5TAkl78VsSFw,Last Wish,2019,6.0,7.0
['5vbgY6zVUKz1haJv618QvC'],5noDOUD9j4Ofwt5OxGo1fv,Pursuit,2018,11.0,30.0
['5vdIXwFJACxwOqwS60g3RU'],5OuFUJv8SfTUii5mjHBtgU,"Lo Mejor, Vol. 1",2021,10.0,23.0
"['6R1Ad2cIgEh02OKCqkf4G4', '5w282f2wMOeeIGJGN4Pmd1']",4UQxgLwt24a1YBEVPUhdfk,Emotive Pop Songs,2020,4.0,1.0
['5wYefcaTgIWUJzv5H9mWvu'],4ymPqvIZ25YWNLW6HFZyXq,"Internet Archives, Volume 1",2022,11.0,26.0
['5wbZwShmxCGRjgjTQQr7Sr'],2KXGcDh6GlO33SPQb1uU7d,Welcome to Florida,2022,2.0,1.0
['5x3otyi8QbZF1g2DeF4vwo'],7fuN5vR1UvFCH8Chuyqzhd,Do You Hear The Beat?,2011,11.0,7.0
['5x3otyi8QbZF1g2DeF4vwo'],4RxSmO9APS3cKp6amBxevh,Harmonies for the Holidays,2011,9.0,22.0
['5x3otyi8QbZF1g2DeF4vwo'],6nGOaLm5tJafPqroc5zBhE,Studio Stigmata,2008,4.0,15.0
['5x3otyi8QbZF1g2DeF4vwo'],60r55VzuOd2HJxWgCeX1k1,Goin' Digital,2007,9.0,18.0
['5x3otyi8QbZF1g2DeF4vwo'],5zXpgrUiXjng83PxQepQE4,Goin' Digital,2007,9.0,18.0
['5x3otyi8QbZF1g2DeF4vwo'],3IERVBXVfJMn0T3dz5vjVR,United We Stand,2001,1.0,16.0
['5xGdfFsDmPgAhQlhYZ8bL8'],0L8jsVcJc2rlWFmGDXf6Dw,Livin' The Dream,2010,2.0,1.0
['5xazQSF69sfMYkAu1758DS'],3sJahQ0ZKR7jYAXmxUrVKf,Loop,2019,7.0,30.0
['5xazQSF69sfMYkAu1758DS'],16G7tl86m7vISQJePUOLzG,Big Simp 1,2018,4.0,29.0
['5xgbMtcoUZiXFdSOFaOrvT'],2jcjEjGgnQxdV8gSJpFtWr,Cobalt Euphoria,2021,2.0,9.0
['5xgbMtcoUZiXFdSOFaOrvT'],3oLBQQfv5sICo20JgD3Vtq,Cobalt Precursor,2018,7.0,8.0
['5xrw55wS2oElbUS4X96EWR'],0L3QZjRFyxjUFjCq0Is7tV,Fantasy trip,2023,1.0,30.0
['5xrw55wS2oElbUS4X96EWR'],2YO8VtunUQAc6YPTMHjlH3,Get the fuck up,2022,3.0,7.0
['5xrw55wS2oElbUS4X96EWR'],7zpgmrRMHPRg2SczOEuwa5,Back to the jungle (Affirmations),2021,7.0,15.0
['5xwugJ4uudppmOCCZateE5'],3wjh5UvDcZymRv6SQz3gOg,FAVORITAS CON AMOR Vol. 2,2023,1.0,27.0
['5xwugJ4uudppmOCCZateE5'],00RwoHXc4En23KVUjuPcV9,Cumbias Para Bailar,2021,11.0,5.0
['5xwugJ4uudppmOCCZateE5'],5EdKzaxmIkGlv2ovsiQAVT,Aquí Estamos (Deluxe),2021,10.0,1.0
['5xwugJ4uudppmOCCZateE5'],0iDo4NpgfSFlYqzyyGgyQS,Aquí Estamos,2021,6.0,18.0
['5xwugJ4uudppmOCCZateE5'],2ZRzCrPY0iA4zLt2Dnnp4u,Lo Más Romántico De,2021,1.0,22.0
['5xwugJ4uudppmOCCZateE5'],7qLJQwT8tLCzkK4xMhDbip,Lo Más Escuchado De,2019,9.0,27.0
['5xwugJ4uudppmOCCZateE5'],5mL6vTAxrR4bT2Vb3eusN6,Amigo Del Tiempo,2017,3.0,24.0
['5xwugJ4uudppmOCCZateE5'],6rD22U1k2o5oD0chvwetZN,Singles,2016,10.0,14.0
['5xwugJ4uudppmOCCZateE5'],7E8JPplMWXijcZ6HMt3itw,La Historia De Los Éxitos (20 Super Temas),2015,4.0,28.0
['5xwugJ4uudppmOCCZateE5'],473fld6twOBVlgxt3mCkt2,Qué Importa Ya / Que Haré Si Tú Te Vas,2015,4.0,13.0
['5xwugJ4uudppmOCCZateE5'],4PqCFmUREhRvB2oGLLvOdF,45 Éxitos (Versiones Originales),2015,2.0,24.0
"['44WCHvwXBOMz6nm7Mu2ReO', '5xwugJ4uudppmOCCZateE5']",0pXUMFQRkHoGYjMZGYIjmT,Gran Encuentro (20 Éxitos Originales),2014,8.0,5.0
['5xwugJ4uudppmOCCZateE5'],42JtKRm4Qi7l8i9kvbHg8c,Imprescindibles,2014,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],5iEw7vdTfZYTmcqv0UHcYe,Liberación,2013,7.0,1.0
['5xwugJ4uudppmOCCZateE5'],0CFAHsejJuv2B7BigAqWh4,Liberación,2013,4.0,8.0
['5xwugJ4uudppmOCCZateE5'],6D3cg7cXegC5BJGfZ6m7D9,Liberación,2013,3.0,18.0
['5xwugJ4uudppmOCCZateE5'],291mUyzndJIYbyQRM3bcVP,Liberación,2013,3.0,5.0
['5xwugJ4uudppmOCCZateE5'],0fk1pUbQKmTFc24MEyI7oh,Liberación - Soy un Perdedor,2013,3.0,5.0
['5xwugJ4uudppmOCCZateE5'],79f3dqgifxZttUV7j2Sr0K,20 Kilates,2013,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],16IqKYpQ7IEH6Ya6RCIN8U,21 Black Jack (Nueva Edición Remasterizada),2013,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],0WyKRiEc1eCxP6bIewTBhB,Antología Musical,2013,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],1o2RonWnm1edTk5f8Yj73V,20 Kilates 20 Éxitos,2012,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],1CmFApjzLnuly76lFO7Tqc,Como En Los Buenos Tiempos (Vol. 2),2012,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],3K0r0hGKKZxStTIFXMnwfR,Como En Los Buenos Tiempos (Vol. 2),2012,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],16gnerQu31LT0woufdXlE4,Íconos 25 Éxitos,2012,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],52ZEt2ehHA0XD26B2DkSMH,Como En Los Buenos Tiempos,2011,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],69l6631rdpSqUreMcCsmni,Como En Los Buenos Tiempos (Version Mexico),2011,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],3JM0JTzYHIjsDIjfevCPyi,15 Éxitos,2010,7.0,27.0
['5xwugJ4uudppmOCCZateE5'],3Np7QDdW1IjOn5VBSjKa4K,15 Éxitos,2010,7.0,27.0
['5xwugJ4uudppmOCCZateE5'],6QtD0ukRZCN4TSQzP8MzRR,20 Reales Super Exitos,2009,1.0,1.0
"['44WCHvwXBOMz6nm7Mu2ReO', '5xwugJ4uudppmOCCZateE5']",2XOlgQTGrOwq3QfXb0NnX1,Frente A Frente,2009,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],4Reqb2AWjWmabouVRVNwZ6,La Mas Completa Coleccion (Disco 1),2009,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],3CEWwNleceC19zaGeVQYgr,La Mas Completa Coleccion (Disco 2),2009,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],34nXvIhGnR6M0H6K6PuIP0,Raices,2009,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],7Mm6tUlFiIwz8VYPZZNSHq,Serie 33,2009,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],2pwyoSFTykHfrFKFO2pmWH,Sus Éxitos Con Juan Tavares,2009,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],0PDkhZauDSYbwePpI5OO4G,15 Auténticos Éxitos,2008,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],33cmXTxZUTkwdRkSbDTx2T,Cada Vez Mas Fuerte,2008,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],1rX7tjGJ5BaqltqoZL88jl,Sus Éxitos Con Juan Tavares,2008,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],5BhAjPF7nbVtq2pvz7nbVm,30 Aniversario Duetos,2007,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],4uj8R5ZMUEWdAWIX8cSXwS,En Vivo: El Regreso,2007,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],1udojk6X1lNGdcn9KJOpxI,Juntitos Los Dos,2006,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],0EWqcAaxrasNY7aUkZAvL8,Lo Más Romantico De...,2005,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],4TlceDpHjeRnDxFcYo4Jkb,Top Ten,2005,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],3U7GcT9tJj9d9rhpK53oQ8,20 Memorias,2004,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],0B7DPESOwaxk8gnJ1CymUW,Que Me Quiten Lo Bailado,2004,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],39l7xKRsDb3QPKQL0SndLp,Las Canciones Que Esperabas,2003,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],0oFjmp6FMP0vKHrscRXSGc,Entre Nubes,2002,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],76Z58HSB8MLAlMLy6nWbUk,15 Éxitos Vol. 1,2001,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],5qyplunAv21gUahEdLkXe7,Ahora Y Siempre,2001,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],4xfjey3IjjaiYHApwpzj4O,Si Estuvieras Conmigo,1999,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],7zi7rAde6xH6HELDFctYhX,Si Estuvieras Conmigo,1999,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],760VNYXPHSL5kn5OD9uAJp,Un Regalo De Amor,1998,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],2vdLE9aWGU4mKCgzXecPhS,Lo Dijo El Cura - Sentimiento Ranchero,1997,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],2wQGZvSSy95jnZ3udsZeJE,Un Loco Romántico,1997,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],7b9UQrRK5v7C7BE5MPe1qc,Estrenando Novio,1996,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],1MswPVC2WgWsKcmr7V2FTy,Por Puro Gusto,1996,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],0QWilAe82k1EBUB7s44Xmi,Levantado En Armas,1996,,
['5xwugJ4uudppmOCCZateE5'],4XX1NXGCEwomxl6cYRcW2d,Enamorado De Un Fantasma,1995,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],706XFyxB6vRqDxstllHCGe,Entre Nubes,1993,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],2bNqtdUyhOxB3mEDcVZ1Xm,15 Hits Directo Al Corazón,1993,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],6w4hod1ifRryFs208eKPLe,Directo Al Corazón,1993,1.0,1.0
['5xwugJ4uudppmOCCZateE5'],5pRCVVE9cdS7BGpxPNoqU6,Para Estar Contigo,1993,,
