artists_idxs,album_idx,album_name,album_release_year,album_release_month,album_release_day
['12Wh6mBums7Jb6xrZMYMHY'],3UnbKVZoF1zXQggL12VFI5,Let's Start a Family Tonight,2021,5.0,21.0
['12Wh6mBums7Jb6xrZMYMHY'],2wErERXwTnyYU8kjuDEYOd,That's How Baby Learns,2015,12.0,31.0
['12Wh6mBums7Jb6xrZMYMHY'],3j5xYqnkFW9H3yFMfChO9y,Cactus Milk,2015,12.0,30.0
['12XFFT7c5VUYdNzJODHOLn'],4bu2hr4Ni9PRMJanZt4Voy,First Rule No Rules,2019,12.0,12.0
['12d4iIvTOk7JkI6ecvc3ca'],7FWMMkfzQZwaEzZFVHDq9p,Volunteer Jam 1 – 1974: The Legend Begins (Live),2022,8.0,26.0
['12d4iIvTOk7JkI6ecvc3ca'],1v8kTsNPmQMuMMmvQHvyv4,"Keep Movin' (Nassau Coliseum, Long Island, NY, 1979 WLIR Broadcast Remastered)",2020,8.0,12.0
['12d4iIvTOk7JkI6ecvc3ca'],2zThPZeLvZtOQ8IQu5yLMC,Volunteer Jam III & IV (Live),2017,2.0,24.0
['12d4iIvTOk7JkI6ecvc3ca'],0gBP7r1ICQrC6mYWqvv334,Deluxe Essential Super Hits,2016,9.0,23.0
['12d4iIvTOk7JkI6ecvc3ca'],0T4kDCbygbQRDWcMd6bzni,Live at Billy Bob's Texas,2015,10.0,16.0
['12d4iIvTOk7JkI6ecvc3ca'],4et5G7JbxzqjmoF4utRDfr,Off the Grid-Doin' It Dylan,2014,4.0,1.0
['12d4iIvTOk7JkI6ecvc3ca'],7bNQGSOPAPZGuViS6Esk7S,Volunteer Jam V 1979 - EP 1,2013,12.0,17.0
['12d4iIvTOk7JkI6ecvc3ca'],2Hqvz7yu5fHjpI4wk4JOXf,Hits of the South,2013,2.0,19.0
['12d4iIvTOk7JkI6ecvc3ca'],5Ty7c0bNLINYE2fXN3wQjf,Blues Hat,2012,10.0,22.0
['12d4iIvTOk7JkI6ecvc3ca'],2u9UCwaRMsMnW69lsCIKJT,Land That I Love,2010,7.0,30.0
['12d4iIvTOk7JkI6ecvc3ca'],4QFUFoSXMlTVgZoTRxV5vq,Road Dogs,2010,,
['12d4iIvTOk7JkI6ecvc3ca'],1lCOv0hC8ilEcRBL4JbO3y,Deuces,2007,,
['12d4iIvTOk7JkI6ecvc3ca'],0QtDy67m8JXWyUlMg37MdE,Land That I Love (Songs for America),2007,,
['12d4iIvTOk7JkI6ecvc3ca'],613QLL4JRxxFWZhTGyhAkx,Live from Iraq,2007,,
['12d4iIvTOk7JkI6ecvc3ca'],4shn5dhMjGLyzsWKNIyyht,Songs from the Longleaf Pines,2005,,
['12d4iIvTOk7JkI6ecvc3ca'],6DGlL7bip4q0vE1GCuIAUq,Tailgate Party,2005,,
['12d4iIvTOk7JkI6ecvc3ca'],7D2O6EuPZR6sFAha59VoAc,Fiddle Fire,2005,,
['12d4iIvTOk7JkI6ecvc3ca'],5BMTdUY5HcnUYivU0OSEUN,The Essential Super Hits of the Charlie Daniels Band,2004,,
['12d4iIvTOk7JkI6ecvc3ca'],19m72RawyMmX54S51dx8fl,Freedom & Justice for All,2003,,
['12d4iIvTOk7JkI6ecvc3ca'],5C6relcJUBSHxQCNGdVrL7,A Merry Christmas to All,2003,,
